Unnamed: 0,Buy,BuyVolume,Change,ChangePercentage,Close,Code,Company,Date,High,LACP,Low,Market,Open,Remark,Sector,Sell,SellVolume,Time,Volume,BursaURL
192,0.445,960,0.025,+5.95,0.445,'8907,EG INDUSTRIES BERHAD,23 Oct 2019,0.460,0.42,0.425,MAIN MARKET,0.425,s,INDUSTRIAL PRODUCTS & SERVICES,0.450,"3,450",05:00PM,"66,818",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8907
193,1.400,40,-,-,-,'5208,EITA RESOURCES BERHAD,23 Oct 2019,-,1.4,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,1.430,27,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5208
194,0.040,"4,535",0.010,+25.00,0.050,'7182,EKA NOODLES BERHAD,23 Oct 2019,0.050,0.04,0.050,MAIN MARKET,0.050,s,CONSUMER PRODUCTS & SERVICES,0.050,"1,690",05:00PM,10,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7182
195,0.785,"3,162",-0.015,-1.88,0.785,'8877,EKOVEST BERHAD,23 Oct 2019,0.815,0.8,0.780,MAIN MARKET,0.800,s,CONSTRUCTION,0.790,"1,076",05:00PM,"285,197",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8877
196,0.705,100,-0.035,-4.70,0.710,'9016,EKSONS CORPORATION BERHAD,23 Oct 2019,0.710,0.745,0.710,MAIN MARKET,0.710,s,INDUSTRIAL PRODUCTS & SERVICES,0.710,70,05:00PM,530,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9016
197,1.650,638,0.030,+1.82,1.680,'5228,ELK-DESA RESOURCES BERHAD,23 Oct 2019,1.680,1.65,1.640,MAIN MARKET,1.640,s,FINANCIAL SERVICES,1.680,19,05:00PM,"1,694",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5228
198,1.020,1,0.010,+0.99,1.020,'0090,ELSOFT RESEARCH BERHAD,23 Oct 2019,1.030,1.01,1.010,MAIN MARKET,1.010,s,TECHNOLOGY,1.030,"3,055",05:00PM,"15,927",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0090
199,0.155,754,-,-,0.155,'9091,EMICO HOLDINGS BERHAD,23 Oct 2019,0.155,0.155,0.155,MAIN MARKET,0.155,s,CONSUMER PRODUCTS & SERVICES,0.165,200,05:00PM,366,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9091
200,0.275,14,-0.020,-6.78,0.275,'6076,ENCORP BERHAD,23 Oct 2019,0.275,0.295,0.275,MAIN MARKET,0.275,s,PROPERTY,0.305,50,05:00PM,50,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6076
201,0.910,50,-,-,-,'7149,ENG KAH CORPORATION BERHAD,23 Oct 2019,-,0.915,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,0.950,10,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7149
202,0.575,"1,261",-,-,0.575,'5056,ENGTEX GROUP BERHAD,23 Oct 2019,0.590,0.575,0.575,MAIN MARKET,0.575,s,INDUSTRIAL PRODUCTS & SERVICES,0.580,10,05:00PM,"7,807",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5056
203,1.140,130,-0.060,-5.00,1.140,'8613,ENRA GROUP BERHAD,23 Oct 2019,1.140,1.2,1.140,MAIN MARKET,1.140,s,PROPERTY,1.190,21,05:00PM,21,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8613
204,0.330,869,0.005,+1.52,0.335,'7217,EONMETALL GROUP BERHAD,23 Oct 2019,0.335,0.33,0.330,MAIN MARKET,0.330,s,INDUSTRIAL PRODUCTS & SERVICES,0.340,300,05:00PM,250,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7217
205,0.325,100,-,-,-,'7773,EP MANUFACTURING BHD,23 Oct 2019,-,0.37,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.370,50,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7773
206,0.540,38,-,-,-,'5081,ESTHETICS INTERNATIONAL GROUP BERHAD,23 Oct 2019,-,0.56,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,0.570,65,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5081
207,0.630,"1,200",-,-,0.635,'6815,EUPE CORPORATION BERHAD,23 Oct 2019,0.635,0.635,0.635,MAIN MARKET,0.635,s,PROPERTY,0.640,"1,010",05:00PM,100,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6815
208,0.095,"2,073",0.005,+5.26,0.100,'7208,EURO HOLDINGS BERHAD,23 Oct 2019,0.100,0.095,0.095,MAIN MARKET,0.095,s,CONSUMER PRODUCTS & SERVICES,0.100,"1,308",05:00PM,"1,432",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7208
209,0.360,170,-0.040,-10.00,0.360,'7094,EUROSPAN HOLDINGS BERHAD,23 Oct 2019,0.360,0.4,0.360,MAIN MARKET,0.360,s,CONSUMER PRODUCTS & SERVICES,0.410,10,05:00PM,30,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7094
210,0.260,"3,402",-0.005,-1.85,0.265,'5101,EVERGREEN FIBREBOARD BERHAD,23 Oct 2019,0.270,0.27,0.260,MAIN MARKET,0.270,s,INDUSTRIAL PRODUCTS & SERVICES,0.265,"1,881",05:00PM,"6,740",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5101
211,0.400,"2,874",-0.010,-2.44,0.400,'5205,EVERSENDAI CORPORATION BERHAD,23 Oct 2019,0.405,0.41,0.400,MAIN MARKET,0.405,s,CONSTRUCTION,0.405,430,05:00PM,"2,662",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5205
212,0.670,"8,646",0.045,+7.14,0.675,'7249,EWEIN BERHAD,23 Oct 2019,0.675,0.63,0.625,MAIN MARKET,0.635,s,PROPERTY,0.675,"2,968",05:00PM,"79,728",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7249
213,0.615,"1,285",-,-,0.620,'0065,EXCEL FORCE MSC BERHAD,23 Oct 2019,0.625,0.62,0.610,MAIN MARKET,0.620,s,TECHNOLOGY,0.620,"2,956",05:00PM,"60,638",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0065
214,1.250,19,-,-,-,'2984,FACB INDUSTRIES INCORPORATED BERHAD,23 Oct 2019,-,1.29,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,1.290,130,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2984
215,0.355,815,-0.010,-2.74,0.355,'7047,FAJARBARU BUILDER GROUP BHD,23 Oct 2019,0.365,0.365,0.355,MAIN MARKET,0.360,s,CONSTRUCTION,0.365,398,05:00PM,"2,640",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7047
216,2.650,42,-,-,2.650,'5029,FAR EAST HOLDINGS BERHAD,23 Oct 2019,2.650,2.65,2.650,MAIN MARKET,2.650,s,PLANTATION,2.680,30,05:00PM,198,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5029
217,0.330,285,-0.005,-1.47,0.335,'6041,FARLIM GROUP (MALAYSIA) BHD,23 Oct 2019,0.340,0.34,0.330,MAIN MARKET,0.340,s,PROPERTY,0.340,145,05:00PM,"1,966",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6041
218,2.690,143,-,-,2.690,'7229,FAVELLE FAVCO BERHAD,23 Oct 2019,2.710,2.69,2.680,MAIN MARKET,2.690,s,INDUSTRIAL PRODUCTS & SERVICES,2.720,10,05:00PM,"1,522",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7229
219,0.610,101,-,-,-,'2755,FCW HOLDINGS BERHAD,23 Oct 2019,-,0.61,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,-,-,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2755
220,0.345,100,-,-,-,'8605,FEDERAL INTERNATIONAL HOLDINGS BERHAD,23 Oct 2019,-,0.36,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,0.360,"1,326",05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8605
221,1.000,"6,396",-0.030,-2.91,1.000,'5222,FGV HOLDINGS BERHAD,23 Oct 2019,1.020,1.03,0.990,MAIN MARKET,1.020,s,PLANTATION,1.010,"1,824",05:00PM,"108,622",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5222
222,0.490,"1,000",-,-,-,'6939,FIAMMA HOLDINGS BERHAD,23 Oct 2019,-,0.49,-,MAIN MARKET,-,s,CONSUMER PRODUCTS & SERVICES,0.515,85,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6939
223,0.340,50,0.005,+1.41,0.360,'0149,FIBON BERHAD,23 Oct 2019,0.360,0.355,0.355,MAIN MARKET,0.355,s,INDUSTRIAL PRODUCTS & SERVICES,0.355,140,05:00PM,203,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0149
224,1.720,90,-,-,1.730,'3107,FIMA CORPORATION BERHAD,23 Oct 2019,1.730,1.73,1.730,MAIN MARKET,1.730,s,INDUSTRIAL PRODUCTS & SERVICES,1.730,45,05:00PM,305,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3107
225,0.385,"10,357",0.005,+1.30,0.390,'9318,FITTERS DIVERSIFIED BERHAD,23 Oct 2019,0.395,0.385,0.385,MAIN MARKET,0.385,s,INDUSTRIAL PRODUCTS & SERVICES,0.390,"4,474",05:00PM,"74,466",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9318
226,1.150,988,-0.010,-0.85,1.160,'5197,FOCUS LUMBER BERHAD,23 Oct 2019,1.160,1.17,1.150,MAIN MARKET,1.160,s,INDUSTRIAL PRODUCTS & SERVICES,1.160,5,05:00PM,832,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5197
227,1.570,"2,093",-0.010,-0.63,1.570,'9172,FORMOSA PROSONIC INDUSTRIES BERHAD,23 Oct 2019,1.580,1.58,1.570,MAIN MARKET,1.580,s,CONSUMER PRODUCTS & SERVICES,1.580,"9,796",05:00PM,463,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9172
228,0.475,"6,086",0.005,+1.05,0.480,'5277,FOUNDPAC GROUP BERHAD,23 Oct 2019,0.485,0.475,0.475,MAIN MARKET,0.480,s,INDUSTRIAL PRODUCTS & SERVICES,0.480,"8,150",05:00PM,"43,274",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5277
229,34.500,13,0.080,+0.23,34.620,'3689,FRASER & NEAVE HOLDINGS BHD,23 Oct 2019,34.620,34.54,34.340,MAIN MARKET,34.500,s,CONSUMER PRODUCTS & SERVICES,34.620,"1,534",05:00PM,"6,336",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3689
230,0.615,80,-,-,0.615,'7210,FREIGHT MANAGEMENT HOLDINGS BERHAD,23 Oct 2019,0.620,0.615,0.615,MAIN MARKET,0.620,s,TRANSPORTATION & LOGISTICS,0.620,50,05:00PM,718,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7210
231,1.890,250,-0.010,-0.52,1.900,'0128,FRONTKEN CORPORATION BERHAD,23 Oct 2019,1.910,1.91,1.880,MAIN MARKET,1.910,s,TECHNOLOGY,1.900,"2,301",05:00PM,"17,255",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0128
232,-,-,-,-,-,'9377,FSBM HOLDINGS BERHAD,23 Oct 2019,-,0.095,-,MAIN MARKET,-,Ss,TECHNOLOGY,-,-,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9377
233,3.510,10,-0.010,-0.28,3.530,'7184,G3 GLOBAL BERHAD,23 Oct 2019,3.570,3.54,3.510,MAIN MARKET,3.550,s,CONSUMER PRODUCTS & SERVICES,3.540,67,05:00PM,"2,073",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7184
234,1.270,273,0.020,+1.57,1.290,'5226,GABUNGAN AQRS BERHAD,23 Oct 2019,1.290,1.27,1.260,MAIN MARKET,1.260,s,CONSTRUCTION,1.290,859,05:00PM,"4,580",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5226
235,0.660,"2,796",-0.010,-1.49,0.660,'9261,GADANG HOLDINGS BHD,23 Oct 2019,0.665,0.67,0.660,MAIN MARKET,0.665,s,CONSTRUCTION,0.665,171,05:00PM,"12,717",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9261
236,3.710,"1,784",-0.010,-0.27,3.750,'5398,GAMUDA BERHAD,23 Oct 2019,3.760,3.76,3.690,MAIN MARKET,3.760,s,CONSTRUCTION,3.750,"4,848",05:00PM,"11,173",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5398
237,2.810,"4,990",0.010,+0.36,2.810,'5209,GAS MALAYSIA BERHAD,23 Oct 2019,2.810,2.8,2.800,MAIN MARKET,2.800,s,UTILITIES,2.820,300,05:00PM,"1,376",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5209
238,0.285,563,-0.005,-1.72,0.285,'0078,GD EXPRESS CARRIER BERHAD,23 Oct 2019,0.290,0.29,0.280,MAIN MARKET,0.290,s,TRANSPORTATION & LOGISTICS,0.290,"14,477",05:00PM,"32,538",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0078
239,0.465,100,-,-,-,'7197,GE-SHEN CORPORATION BERHAD,23 Oct 2019,-,0.5,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.500,10,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7197
240,5.640,"2,231",-0.050,-0.88,5.650,'3182,GENTING BERHAD,23 Oct 2019,5.710,5.7,5.640,MAIN MARKET,5.700,s,CONSUMER PRODUCTS & SERVICES,5.650,397,05:00PM,"39,165",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3182
241,3.060,"5,873",-0.020,-0.65,3.060,'4715,GENTING MALAYSIA BERHAD,23 Oct 2019,3.080,3.08,3.050,MAIN MARKET,3.080,s,CONSUMER PRODUCTS & SERVICES,3.070,"2,074",05:00PM,"53,681",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4715
242,9.840,25,-0.030,-0.30,9.900,'2291,GENTING PLANTATIONS BERHAD,23 Oct 2019,9.910,9.93,9.790,MAIN MARKET,9.900,s,PLANTATION,9.900,"8,965",05:00PM,756,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2291
243,1.020,"3,594",-,-,1.030,'3204,GEORGE KENT (MALAYSIA) BERHAD,23 Oct 2019,1.040,1.03,1.020,MAIN MARKET,1.030,s,CONSTRUCTION,1.030,901,05:00PM,"11,980",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3204
244,0.185,"1,157",0.005,+2.70,0.190,'5079,GETS GLOBAL BERHAD,23 Oct 2019,0.190,0.185,0.180,MAIN MARKET,0.190,s,CONSUMER PRODUCTS & SERVICES,0.190,"1,700",05:00PM,"6,123",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5079
245,1.390,"1,473",0.010,+0.72,1.400,'0021,GHL SYSTEMS BERHAD,23 Oct 2019,1.410,1.39,1.390,MAIN MARKET,1.410,s,TECHNOLOGY,1.400,356,05:00PM,"4,393",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0021
246,0.195,168,-,-,0.195,'1147,GLOBAL ORIENTAL BERHAD,23 Oct 2019,0.195,0.195,0.190,MAIN MARKET,0.190,s,PROPERTY,0.200,"1,849",05:00PM,934,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1147
247,0.370,190,-,-,0.375,'5220,GLOBALTEC FORMATION BERHAD,23 Oct 2019,0.375,0.375,0.370,MAIN MARKET,0.370,s,INDUSTRIAL PRODUCTS & SERVICES,0.375,"1,860",05:00PM,"2,990",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5220
248,2.250,574,-0.020,-0.88,2.250,'7022,GLOBETRONICS TECHNOLOGY BERHAD,23 Oct 2019,2.290,2.27,2.230,MAIN MARKET,2.280,s,TECHNOLOGY,2.270,100,05:00PM,"24,626",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7022
249,0.360,305,-,-,0.365,'5020,GLOMAC BERHAD,23 Oct 2019,0.365,0.365,0.365,MAIN MARKET,0.365,s,PROPERTY,0.365,230,05:00PM,231,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5020
250,0.400,705,-0.010,-2.38,0.410,'7382,GOLDEN LAND BERHAD,23 Oct 2019,0.410,0.42,0.400,MAIN MARKET,0.400,s,PLANTATION,0.420,100,05:00PM,480,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7382
251,0.180,160,-,-,-,'5649,GOLDEN PHAROS BERHAD,23 Oct 2019,-,0.18,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.185,40,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5649
252,0.220,"1,069",-,-,0.220,'7192,GOODWAY INTEGRATED INDUSTRIES BERHAD,23 Oct 2019,0.225,0.22,0.220,MAIN MARKET,0.220,s,INDUSTRIAL PRODUCTS & SERVICES,0.225,"2,360",05:00PM,"2,806",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7192
253,0.670,3,-,-,0.685,'2135,GOPENG BERHAD,23 Oct 2019,0.685,0.685,0.660,MAIN MARKET,0.670,s,PLANTATION,0.685,195,05:00PM,71,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2135
254,0.105,"1,725",-,-,-,'7096,GPA HOLDINGS BERHAD,23 Oct 2019,-,0.105,-,MAIN MARKET,-,s,INDUSTRIAL PRODUCTS & SERVICES,0.115,200,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7096
255,0.480,600,-,-,0.480,'5592,GRAND CENTRAL ENTERPRISES BHD,23 Oct 2019,0.480,0.48,0.480,MAIN MARKET,0.480,s,CONSUMER PRODUCTS & SERVICES,0.500,30,05:00PM,100,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5592
256,0.500,100,-,-,-,'7010,GRAND HOOVER BERHAD,23 Oct 2019,-,0.5,-,MAIN MARKET,-,s,PROPERTY,0.565,2,05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7010
257,0.265,"4,288",0.005,+1.89,0.270,'0056,GRAND-FLO BERHAD,23 Oct 2019,0.270,0.265,0.265,MAIN MARKET,0.270,s,TECHNOLOGY,0.280,863,05:00PM,"1,550",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0056
258,0.730,285,-,-,0.735,'0082,GREEN PACKET BERHAD,23 Oct 2019,0.745,0.735,0.725,MAIN MARKET,0.730,s,TELECOMMUNICATIONS & MEDIA,0.735,609,05:00PM,"53,020",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0082
259,0.120,"13,080",-,-,0.125,'0136,GREENYIELD BERHAD,23 Oct 2019,0.125,0.125,0.120,MAIN MARKET,0.120,s,CONSUMER PRODUCTS & SERVICES,0.125,"1,645",05:00PM,"4,212",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0136
260,0.245,223,0.045,+17.65,0.300,'9962,GROMUTUAL BERHAD,23 Oct 2019,0.300,0.255,0.245,MAIN MARKET,0.250,s,PROPERTY,0.290,90,05:00PM,"1,273",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9962
261,0.170,"11,348",-,-,-,'7077,GSB GROUP BERHAD,23 Oct 2019,-,0.17,-,MAIN MARKET,-,s,PROPERTY,0.180,"3,297",05:00PM,-,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7077
262,4.800,26,-0.010,-0.21,4.800,'5102,GUAN CHONG BERHAD,23 Oct 2019,4.860,4.81,4.750,MAIN MARKET,4.860,s,CONSUMER PRODUCTS & SERVICES,4.810,23,05:00PM,"3,214",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5102
263,0.490,130,0.010,+2.04,0.500,'3247,GUH HOLDINGS BERHAD,23 Oct 2019,0.500,0.49,0.490,MAIN MARKET,0.490,s,INDUSTRIAL PRODUCTS & SERVICES,0.500,322,05:00PM,260,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3247
264,0.295,"1,021",0.020,+6.67,0.320,'7676,GUNUNG CAPITAL BERHAD,23 Oct 2019,0.320,0.3,0.295,MAIN MARKET,0.295,s,TRANSPORTATION & LOGISTICS,0.320,110,05:00PM,80,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7676
265,0.650,100,-0.005,-0.75,0.660,'1503,GUOCOLAND (MALAYSIA) BERHAD,23 Oct 2019,0.660,0.665,0.660,MAIN MARKET,0.660,s,PROPERTY,0.660,110,05:00PM,21,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1503
266,2.350,221,-,-,2.350,'7668,HAI-O ENTERPRISE BERHAD,23 Oct 2019,2.360,2.35,2.350,MAIN MARKET,2.350,s,CONSUMER PRODUCTS & SERVICES,2.360,100,05:00PM,"1,043",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7668
267,0.395,50,0.010,+2.60,0.395,'7253,HANDAL ENERGY BERHAD,23 Oct 2019,0.410,0.385,0.390,MAIN MARKET,0.390,s,ENERGY,0.400,600,05:00PM,"13,837",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7253
268,9.890,13,0.010,+0.10,9.940,'3034,HAP SENG CONSOLIDATED BERHAD,23 Oct 2019,9.940,9.93,9.860,MAIN MARKET,9.930,s,INDUSTRIAL PRODUCTS & SERVICES,9.950,371,05:00PM,"2,496",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3034
269,1.430,150,0.020,+1.40,1.450,'5138,HAP SENG PLANTATIONS HOLDINGS BERHAD,23 Oct 2019,1.450,1.43,1.430,MAIN MARKET,1.430,s,PLANTATION,1.450,84,05:00PM,385,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5138
270,0.580,175,0.030,+5.00,0.630,'2062,HARBOUR-LINK GROUP BERHAD,23 Oct 2019,0.630,0.6,0.625,MAIN MARKET,0.625,s,TRANSPORTATION & LOGISTICS,0.630,700,05:00PM,52,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2062
271,0.550,1,-0.030,-5.00,0.570,'7501,HARN LEN CORPORATION BHD,23 Oct 2019,0.585,0.6,0.545,MAIN MARKET,0.550,s,PLANTATION,0.570,99,05:00PM,499,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7501
272,3.620,82,-0.010,-0.28,3.620,'5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD,23 Oct 2019,3.630,3.63,3.620,MAIN MARKET,3.630,s,CONSUMER PRODUCTS & SERVICES,3.700,36,05:00PM,100,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5008
273,5.190,683,-0.050,-0.95,5.200,'5168,HARTALEGA HOLDINGS BERHAD,23 Oct 2019,5.240,5.25,5.150,MAIN MARKET,5.240,s,HEALTH CARE,5.200,790,05:00PM,"24,380",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5168
274,0.080,50,-,-,0.080,'5187,HB GLOBAL LIMITED,23 Oct 2019,0.085,0.08,0.075,MAIN MARKET,0.080,s,CONSUMER PRODUCTS & SERVICES,0.085,"11,158",05:00PM,"24,289",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5187
275,1.250,20,0.030,+2.44,1.260,'7105,HCK CAPITAL GROUP BERHAD,23 Oct 2019,1.260,1.23,1.210,MAIN MARKET,1.230,s,PROPERTY,1.260,120,05:00PM,"4,172",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7105
276,25.400,3,0.160,+0.63,25.460,'3255,HEINEKEN MALAYSIA BERHAD,23 Oct 2019,25.540,25.3,25.040,MAIN MARKET,25.300,s,CONSUMER PRODUCTS & SERVICES,25.460,30,05:00PM,346,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3255
277,1.070,138,-0.030,-2.73,1.070,'5028,HEITECH PADU BERHAD,23 Oct 2019,1.110,1.1,1.050,MAIN MARKET,1.100,s,TECHNOLOGY,1.080,150,05:00PM,"13,217",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5028
278,0.985,265,-0.005,-0.51,0.985,'5121,HEKTAR REAL ESTATE INVESTMENT TRUST,23 Oct 2019,1.000,0.99,0.985,MAIN MARKET,1.000,s,REAL ESTATE INVESTMENT TRUSTS,0.990,"6,010",05:00PM,"1,505",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5121
279,4.310,461,-0.030,-0.69,4.320,'4324,HENGYUAN REFINING COMPANY BERHAD,23 Oct 2019,4.350,4.35,4.310,MAIN MARKET,4.340,s,ENERGY,4.320,56,05:00PM,"2,811",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4324
280,0.530,60,-0.005,-0.93,0.530,'5095,HEVEABOARD BERHAD,23 Oct 2019,0.545,0.535,0.525,MAIN MARKET,0.540,s,INDUSTRIAL PRODUCTS & SERVICES,0.535,622,05:00PM,"4,859",http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5095
281,0.695,1,-,-,0.695,'5151,HEXTAR GLOBAL BERHAD,23 Oct 2019,0.700,0.695,0.695,MAIN MARKET,0.695,s,INDUSTRIAL PRODUCTS & SERVICES,0.720,51,05:00PM,499,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5151
